上海电信-组播1,#genre#
CCTV-风云音乐,http://wsc2007123.myds.me:30100/rtp/233.18.204.185:5140
CCTV-第一剧场,http://wsc2007123.myds.me:30100/rtp/233.18.204.184:5140
CCTV-怀旧剧场,http://wsc2007123.myds.me:30100/rtp/233.18.204.182:5140
CCTV-风云剧场,http://wsc2007123.myds.me:30100/rtp/233.18.204.183:5140
CCTV-世界地理,http://wsc2007123.myds.me:30100/rtp/233.18.204.179:5140
CCTV-兵器科技,http://wsc2007123.myds.me:30100/rtp/233.18.204.178:5140
CCTV-女性时尚,http://wsc2007123.myds.me:30100/rtp/233.18.204.180:5140
CCTV-央视台球,http://wsc2007123.myds.me:30100/rtp/233.18.204.177:5140
CGTN英语,http://wsc2007123.myds.me:30100/rtp/233.18.204.28:5140
CETV早期教育,http://wsc2007123.myds.me:30100/rtp/233.18.204.187:5140
CETV-1综合教育,http://wsc2007123.myds.me:30100/rtp/233.18.204.98:5140
CETV-1综合教育,http://wsc2007123.myds.me:30100/rtp/233.18.204.153:5140
CETV-2空中课堂,http://wsc2007123.myds.me:30100/rtp/233.18.204.154:5140
CETV-4职业教育,http://wsc2007123.myds.me:30100/rtp/233.18.204.111:5140
CHC家庭影院,http://wsc2007123.myds.me:30100/rtp/233.18.204.173:5140
CHC影迷电影,http://wsc2007123.myds.me:30100/rtp/233.18.204.175:5140
CHC动作电影,http://wsc2007123.myds.me:30100/rtp/233.18.204.174:5140
BesTV,http://wsc2007123.myds.me:30100/rtp/233.18.204.161:5140
BesTV,http://wsc2007123.myds.me:30100/rtp/233.18.204.162:5140
BesTV,http://wsc2007123.myds.me:30100/rtp/233.18.204.163:5140
BesTV,http://wsc2007123.myds.me:30100/rtp/233.18.204.164:5140
BesTV,http://wsc2007123.myds.me:30100/rtp/233.18.204.165:5140
BesTV,http://wsc2007123.myds.me:30100/rtp/233.18.204.166:5140
BesTV,http://wsc2007123.myds.me:30100/rtp/233.18.204.167:5140
BesTV Live,http://wsc2007123.myds.me:30100/rtp/233.18.204.158:5140
BesTV Live,http://wsc2007123.myds.me:30100/rtp/233.18.204.159:5140
BesTV4K动画,http://wsc2007123.myds.me:30100/rtp/233.18.204.171:5140
BesTV4K测试,http://wsc2007123.myds.me:30100/rtp/233.18.204.201:5140
BesTV4K电影,http://wsc2007123.myds.me:30100/rtp/233.18.204.169:5140
BesTV4K记录,http://wsc2007123.myds.me:30100/rtp/233.18.204.170:5140
BesTV百视通,http://wsc2007123.myds.me:30100/rtp/233.18.204.116:5140
BesTV直播10,http://wsc2007123.myds.me:30100/rtp/233.18.204.160:5140
北京卡酷少儿,http://wsc2007123.myds.me:30100/rtp/233.18.204.152:5140
北京卡酷少儿,http://wsc2007123.myds.me:30100/rtp/233.18.204.109:5140
上海动漫秀场,http://wsc2007123.myds.me:30100/rtp/233.18.204.46:5140
上海动漫秀场,http://wsc2007123.myds.me:30100/rtp/233.18.204.54:5140
上海游戏风云,http://wsc2007123.myds.me:30100/rtp/233.18.204.13:5140
上海游戏风云,http://wsc2007123.myds.me:30100/rtp/233.18.204.44:5140
上海乐游,http://wsc2007123.myds.me:30100/rtp/233.18.204.47:5140
上海法治天地,http://wsc2007123.myds.me:30100/rtp/233.18.204.12:5140
上海法治天地,http://wsc2007123.myds.me:30100/rtp/233.18.204.49:5140
上海都市剧场,http://wsc2007123.myds.me:30100/rtp/233.18.204.48:5140
上海多彩文体4K,http://wsc2007123.myds.me:30100/rtp/233.18.204.205:5140
上海多彩文体4K,http://wsc2007123.myds.me:30100/rtp/233.18.204.50:5140
上海多彩文体4K,http://wsc2007123.myds.me:30100/rtp/233.18.204.55:5140
上海多彩文体4K,http://wsc2007123.myds.me:30100/rtp/233.18.204.115:5140
上海金色学堂,http://wsc2007123.myds.me:30100/rtp/233.18.204.14:5140
